,x,y,z,cluster
198,-3524.445,1376.3954,-1063.6771,0
199,-3446.9346,1418.9408,-1133.9174,0
200,-3653.6365,1362.8419,-1092.837,0
201,-3087.3308,1554.7578,-1055.7108,0
202,-2754.123,1662.0259,-1064.2379,0
203,-3734.8242,1326.1692,-1092.2747,0
204,-3127.7322,1564.8416,-1029.999,0
205,-2982.8467,1590.8431,-1044.8522,0
206,-2186.9143,1729.5953,-1121.788,0
207,-3257.123,1486.7053,-1063.7712,0
208,-3574.91,1376.7601,-997.9839,0
209,-3063.8823,1516.7839,-975.53394,0
210,-3253.026,1381.1549,-1060.8789,0
211,-3522.175,1369.8647,-1099.3871,0
212,-2856.3506,1584.2705,-998.85736,0
213,-3187.0232,1376.223,-1156.1614,0
214,-3227.7458,1450.8943,-1094.6731,0
215,-2935.9155,1590.2997,-1123.1957,0
216,-3622.5654,1397.3721,-1048.81,0
217,-3492.3726,1448.5925,-1090.2805,0
218,-3415.8901,1404.1289,-1141.1963,0
219,-2870.8176,1639.2223,-1085.5607,0
220,-3442.3037,1430.6448,-1021.0552,0
221,-3617.1301,1284.2478,-1126.3894,0
222,-3207.306,1535.7644,-1083.548,0
223,-3465.2761,1394.9398,-989.58734,0
224,-3083.215,1456.7893,-1203.2437,0
225,-3652.198,1387.0398,-1038.29,0
226,-3519.5127,1440.0253,-1002.3788,0
227,-3144.697,1514.8578,-1138.526,0
228,-2920.4607,1632.0767,-1071.7653,0
229,-3716.5535,1284.0383,-1076.614,0
230,-3446.4128,1390.2622,-1030.1302,0
231,-2974.2922,1618.9338,-992.4733,0
232,-2849.8044,1640.7484,-1045.2091,0
233,-3594.74,1407.2909,-1104.3362,0
234,-3446.2302,1446.7435,-976.45746,0
235,-2872.6682,1560.7983,-1090.2075,0
236,-2930.2146,1515.3849,-1096.2242,0
237,-3392.5513,1389.3987,-1076.2789,0
238,-2957.74,1570.3917,-1125.7252,0
239,-2831.6082,1441.8715,-1060.5052,0
240,-3408.1382,1473.9165,-1067.1091,0
241,-3040.544,1539.8965,-1054.3877,0
242,-2596.347,1609.5168,-1084.6672,0
243,-3242.606,1439.9854,-1017.8954,0
244,-3468.781,1414.3425,-1061.7808,0
245,-3234.8064,1455.2362,-1148.2162,0
246,-2821.4343,1557.5878,-1125.3761,0
247,-3767.1663,1362.2358,-1010.9567,0
248,-3681.3406,1400.749,-1051.9763,0
249,-2873.253,1670.6334,-1042.5483,0
250,-2604.556,1508.7909,-1117.0156,0
251,-3369.2517,1464.6049,-1118.2584,0
252,-3201.0793,1498.5576,-1014.3573,0
